game_id,season,week,season_type,team,home_away,firstDowns,firstDownsPassing,firstDownsRushing,firstDownsPenalty,thirdDownEff,fourthDownEff,totalOffensivePlays,totalYards,yardsPerPlay,totalDrives,netPassingYards,completionAttempts,yardsPerPass,interceptions,sacksYardsLost,rushingYards,rushingAttempts,yardsPerRushAttempt,redZoneAttempts,totalPenaltiesYards,turnovers,fumblesLost,defensiveTouchdowns,possessionTime
400554214,2014,1,2,GB,away,19.0,13.0,4.0,2.0,0.5,0.0,57.0,,4.4736842105,10.0,175.0,,4.861111111111111,1.0,,80.0,21.0,3.81,0.6666666666666666,,,0.0,0.0,1600.0
400554214,2014,1,2,SEA,home,25.0,8.0,13.0,4.0,0.3636363636,1.0,66.0,,6.0303030303,10.0,191.0,,6.586206896551724,0.0,,207.0,37.0,5.595,0.6,,,1.0,0.0,2000.0
400554215,2014,1,2,NO,away,30.0,17.0,9.0,4.0,0.6153846154,,70.0,,6.7428571429,10.0,333.0,,7.928571428571429,1.0,,139.0,28.0,4.964,0.6666666666666666,,,1.0,0.0,1825.0
400554215,2014,1,2,ATL,home,28.0,21.0,6.0,1.0,0.5454545455,,69.0,,8.231884058,11.0,445.0,,10.113636363636363,0.0,,123.0,25.0,4.92,1.0,,,1.0,0.0,1878.0
400554232,2014,1,2,BUF,away,15.0,8.0,7.0,0.0,0.3333333333,,56.0,,6.4285714286,12.0,167.0,,7.260869565217392,1.0,,193.0,33.0,5.848,0.5,,,0.0,0.0,1832.0
400554232,2014,1,2,CHI,home,29.0,19.0,5.0,5.0,0.4166666667,,69.0,,6.1884057971,12.0,341.0,,6.686274509803922,2.0,,86.0,18.0,4.778,0.6666666666666666,,,1.0,0.0,2082.0
400554260,2014,1,2,TEN,away,24.0,18.0,5.0,1.0,0.4375,,75.0,,5.4,13.0,243.0,,6.5675675675675675,0.0,,162.0,38.0,4.263,0.5,,,0.0,0.0,2264.0
400554260,2014,1,2,KC,home,15.0,11.0,1.0,3.0,0.0833333333,0.5,56.0,,4.375,13.0,178.0,,4.564102564102564,3.0,,67.0,17.0,3.941,0.5,,,0.0,0.0,1336.0
400554217,2014,1,2,MIN,away,18.0,10.0,6.0,2.0,0.25,,57.0,,6.2280701754,11.0,170.0,,6.8,0.0,,185.0,32.0,5.781,1.0,,,0.0,2.0,1697.0
400554217,2014,1,2,STL,home,15.0,10.0,4.0,1.0,0.2857142857,,63.0,,5.0476190476,12.0,246.0,,6.0,2.0,,72.0,22.0,3.273,0.0,,,0.0,0.0,1903.0
400554262,2014,1,2,NE,away,20.0,12.0,7.0,1.0,0.2941176471,0.5,80.0,,3.9375,13.0,226.0,,3.7666666666666666,0.0,,89.0,20.0,4.45,1.0,,,2.0,0.0,1773.0
400554262,2014,1,2,MIA,home,25.0,10.0,11.0,4.0,0.5384615385,,71.0,,5.0704225352,14.0,169.0,,5.121212121212121,1.0,,191.0,38.0,5.026,0.5,,,2.0,0.0,1827.0
400554226,2014,1,2,OAK,away,11.0,7.0,2.0,2.0,0.25,,49.0,,3.2244897959,12.0,133.0,,3.911764705882353,0.0,,25.0,15.0,1.667,1.0,,,0.0,0.0,1510.0
400554226,2014,1,2,NYJ,home,20.0,9.0,10.0,1.0,0.4166666667,,65.0,,6.1846153846,12.0,190.0,,6.129032258064516,1.0,,212.0,34.0,6.235,0.25,,,1.0,0.0,2090.0
400554223,2014,1,2,JAX,away,18.0,14.0,2.0,2.0,0.1428571429,0.0,70.0,,4.3714285714,16.0,242.0,,5.260869565217392,0.0,,64.0,24.0,2.667,0.0,,,1.0,0.0,1754.0
400554223,2014,1,2,PHI,home,24.0,14.0,7.0,3.0,0.4210526316,1.0,82.0,,5.1219512195,15.0,275.0,,5.5,1.0,,145.0,32.0,4.531,0.0,,,2.0,2.0,1846.0
400554221,2014,1,2,CLE,away,23.0,11.0,9.0,3.0,0.1818181818,,64.0,,6.078125,12.0,198.0,,6.0,0.0,,191.0,31.0,6.161,0.6,,,0.0,0.0,1653.0
400554221,2014,1,2,PIT,home,24.0,16.0,6.0,2.0,0.3333333333,1.0,67.0,,7.5074626866,13.0,376.0,,9.894736842105264,1.0,,127.0,29.0,4.379,0.3333333333333333,,,0.0,0.0,1947.0
400554229,2014,1,2,CIN,away,16.0,11.0,4.0,1.0,0.2857142857,,64.0,,5.9375,12.0,301.0,,7.921052631578948,0.0,,79.0,26.0,3.038,0.0,,,0.0,0.0,1830.0
400554229,2014,1,2,BAL,home,26.0,16.0,8.0,2.0,0.4705882353,0.5,85.0,,4.9764705882,12.0,329.0,,5.061538461538461,1.0,,94.0,20.0,4.7,0.3333333333333333,,,1.0,0.0,1770.0
400554256,2014,1,2,WSH,away,20.0,11.0,7.0,2.0,0.25,0.0,63.0,,5.9047619048,11.0,241.0,,6.025,0.0,,131.0,23.0,5.696,0.5,,,2.0,0.0,1854.0
400554256,2014,1,2,HOU,home,16.0,8.0,5.0,3.0,0.5,,56.0,,5.7321428571,10.0,206.0,,9.363636363636363,0.0,,115.0,34.0,3.382,0.0,,,1.0,1.0,1746.0
400554269,2014,1,2,SF,away,19.0,11.0,6.0,2.0,0.5833333333,,54.0,,5.9074074074,9.0,192.0,,8.0,0.0,,127.0,30.0,4.233,0.6666666666666666,,,0.0,2.0,1716.0
400554269,2014,1,2,DAL,home,26.0,14.0,8.0,4.0,0.5555555556,1.0,63.0,,6.0634920635,10.0,255.0,,6.375,3.0,,127.0,23.0,5.522,0.5,,,1.0,0.0,1884.0
400554266,2014,1,2,CAR,away,19.0,14.0,5.0,0.0,0.4,1.0,68.0,,4.9117647059,11.0,221.0,,6.314285714285714,0.0,,113.0,33.0,3.424,0.3333333333333333,,,0.0,0.0,2112.0
400554266,2014,1,2,TB,home,17.0,10.0,5.0,2.0,0.5,,55.0,,4.8,11.0,162.0,,4.2631578947368425,2.0,,102.0,17.0,6.0,1.0,,,1.0,0.0,1488.0
400554273,2014,1,2,IND,away,24.0,20.0,2.0,2.0,0.3076923077,0.5,70.0,,5.8285714286,12.0,354.0,,6.321428571428571,2.0,,54.0,14.0,3.857,0.5,,,0.0,0.0,1656.0
400554273,2014,1,2,DEN,home,24.0,13.0,8.0,3.0,0.5,,69.0,,5.231884058,12.0,259.0,,7.0,0.0,,102.0,32.0,3.188,0.75,,,0.0,0.0,1944.0
400554296,2014,1,2,NYG,away,16.0,8.0,4.0,4.0,0.2307692308,0.6666666667,57.0,,3.4561403509,10.0,144.0,,4.114285714285714,2.0,,53.0,22.0,2.409,1.0,,,0.0,0.0,1436.0
