team,game_id,season,week,season_type,home_away,firstDowns,firstDownsPassing,firstDownsRushing,firstDownsPenalty,thirdDownEff,totalOffensivePlays,yardsPerPlay,totalDrives,netPassingYards,yardsPerPass,interceptions,rushingYards,rushingAttempts,yardsPerRushAttempt,redZoneAttempts,turnovers,fumblesLost,defensiveTouchdowns,possessionTime,date,home_team,away_team,home_score,away_score,points_for,points_against,points_for_avg_last_3,points_for_avg_last_5,points_against_avg_last_3,points_against_avg_last_5,yardsPerPlay_avg_last_3,yardsPerPlay_avg_last_5,firstDowns_avg_last_3,firstDowns_avg_last_5,rushingAttempts_avg_last_3,rushingAttempts_avg_last_5,possessionTime_avg_last_3,possessionTime_avg_last_5,turnovers_avg_last_3,turnovers_avg_last_5,redZoneAttempts_avg_last_3,redZoneAttempts_avg_last_5
AFC,401701113,2024,4,3,away,21.5,15.0,6.0,0.5,0.4356060606,64.0,6.268627451,10.0,329.0,7.645935624659028,3.0,53.0,19.0,2.738,0.75,3.0,0.0,0.5,1992.5,2025-02-02 20:00:00+00:00,NFC,AFC,76,63,63,76,44.333333333333336,39.4,44.666666666666664,34.8,5.845751634,6.13670471174,20.666666666666668,22.6,19.666666666666668,19.4,1964.6666666666667,2026.6,3.0,2.8,0.7666666666666666,0.71
ARI,401772955,2025,18,2,away,17.0,13.0,4.0,0.0,0.3636363636,53.0,5.9811320755,9.0,238.0,6.2631578947368425,1.0,79.0,15.0,5.267,0.3333333333333333,2.0,1.0,0.0,1669.0,2026-01-04 21:25:00+00:00,LAR,ARI,37,20,20,37,17.666666666666668,17.4,34.333333333333336,33.6,4.967372134033334,5.27550524764,16.666666666666668,17.8,19.0,18.0,1424.0,1508.4,1.0,1.2,0.388888888888889,0.5333333333333333
ATL,401772966,2025,18,2,home,14.0,11.0,2.0,1.0,0.2857142857,61.0,3.4098360656,12.0,159.0,4.416666666666667,1.0,49.0,25.0,1.96,0.3333333333333333,1.0,0.0,0.0,1721.0,2026-01-04 18:00:00+00:00,ATL,NO,19,17,19,17,27.333333333333332,23.0,23.666666666666668,27.0,6.135495560399999,5.726362333839999,22.0,21.2,30.333333333333332,30.8,1943.3333333333333,1905.0,1.0,1.4,0.8333333333333334,0.7
BAL,401772960,2025,18,2,away,12.0,5.0,6.0,1.0,0.3333333333,48.0,7.4791666667,10.0,222.0,10.571428571428571,1.0,137.0,27.0,5.074,0.5,1.0,0.0,0.0,1549.0,2026-01-05 01:20:00+00:00,PIT,BAL,26,24,24,26,29.666666666666668,25.0,17.333333333333332,22.2,6.543568568566667,6.23108531976,21.0,20.2,36.666666666666664,34.4,1782.6666666666667,1729.2,1.0,1.8,0.4444444444444445,0.4333333333333334
BUF,401772967,2025,18,2,home,30.0,16.0,13.0,1.0,0.4615384615,72.0,6.5277777778,9.0,259.0,8.931034482758621,0.0,211.0,43.0,4.907,0.8333333333333334,0.0,0.0,0.0,2300.0,2026-01-04 21:25:00+00:00,BUF,NYJ,35,8,35,8,23.333333333333332,27.0,21.333333333333332,21.0,4.9744005997333325,5.3767124319,19.333333333333332,21.2,33.0,35.8,1904.3333333333333,2028.0,0.3333333333333333,0.8,0.7222222222222222,0.6533333333333334
CAR,401772969,2025,18,2,away,16.0,13.0,1.0,2.0,0.125,49.0,5.8163265306,10.0,266.0,7.6,1.0,19.0,14.0,1.357,1.0,3.0,2.0,0.0,1355.0,2026-01-03 21:30:00+00:00,TB,CAR,16,14,14,16,16.666666666666668,18.0,22.333333333333332,23.0,4.261175552866667,4.78131148326,13.666666666666666,14.0,25.666666666666668,26.0,1587.3333333333333,1643.2,1.0,1.0,0.6666666666666671,0.39999999999999997
CHI,401772965,2025,18,2,home,16.0,10.0,4.0,2.0,0.3636363636,52.0,5.1923076923,8.0,205.0,6.029411764705882,1.0,65.0,18.0,3.611,1.0,1.0,0.0,0.0,1455.0,2026-01-04 21:25:00+00:00,CHI,DET,16,19,16,19,30.333333333333332,27.2,20.333333333333332,20.8,6.394097222233332,5.76292892158,22.333333333333332,23.2,27.0,32.0,1710.6666666666667,1899.8,0.0,0.4,0.5277777777777778,0.55
CIN,401772964,2025,18,2,home,24.0,16.0,8.0,0.0,0.4545454545,66.0,5.5151515152,10.0,222.0,5.414634146341464,1.0,142.0,25.0,5.68,0.75,2.0,1.0,0.0,2134.0,2026-01-04 18:00:00+00:00,CIN,CLE,18,20,18,20,27.333333333333332,29.6,19.666666666666668,22.4,5.5555371811333325,5.495465165820001,23.333333333333332,23.4,30.0,28.4,2235.6666666666665,2145.0,0.6666666666666666,1.0,0.6666666666666666,0.6333333333333333
CLE,401772964,2025,18,2,away,11.0,4.0,6.0,1.0,0.3571428571,52.0,3.8461538462,9.0,82.0,2.9285714285714284,0.0,118.0,24.0,4.917,0.0,1.0,1.0,2.0,1466.0,2026-01-04 18:00:00+00:00,CIN,CLE,18,20,20,18,12.0,14.6,20.0,23.4,4.420773809533333,4.783297619060001,14.0,15.8,24.0,24.6,1837.3333333333333,1797.2,2.3333333333333335,2.2,0.1666666666666667,0.39999999999999997
DAL,401772963,2025,18,2,away,18.0,8.0,9.0,1.0,0.25,54.0,5.2962962963,11.0,143.0,5.958333333333333,1.0,143.0,30.0,4.767,0.5,2.0,1.0,0.0,1613.0,2026-01-04 18:00:00+00:00,NYG,DAL,34,17,17,34,24.333333333333332,26.8,30.333333333333332,32.6,5.906368244433334,6.04734321388,23.666666666666668,23.8,32.0,29.2,1937.6666666666667,1910.0,0.3333333333333333,1.0,0.577777777777778,0.5133333333333334
